neighborhood,id_existing,id_new,match,username,time
,DE94F_gov_89763,DE94F_osm_12065,yes,Jakob,2025-05-06T12:29:36.241
,ITF47_osm_17510,ITF47_msft_21857,unsure,Jakob,2025-05-06T12:29:54.069
,PL219_gov_18250,PL219_osm_78348,yes,Jakob,2025-05-06T12:29:58.575
,ITF34_osm_27293,ITF34_msft_149781,unsure,Jakob,2025-05-06T12:30:06.853
,SE124_osm_30695,SE124_msft_40487,no,Jakob,2025-05-06T12:30:23.658
,PL824_gov_4921,PL824_msft_8449,yes,Jakob,2025-05-06T12:30:25.855
,DE212_osm_81001,DE212_msft_20641,yes,Jakob,2025-05-06T12:30:27.805
,DEA47_gov_120552,DEA47_osm_5518,yes,Jakob,2025-05-06T12:30:29.309
,UKM84_osm_34132,UKM84_msft_52026,yes,Jakob,2025-05-06T12:30:31.890
,DE712_osm_103467,DE712_msft_59101,yes,Jakob,2025-05-06T12:30:33.490
,ITC34_gov_65152,ITC34_msft_29798,yes,Jakob,2025-05-06T12:30:37.726
,PL841_osm_127986,PL841_msft_147987,yes,Jakob,2025-05-06T12:30:39.953
,ES418_osm_35900,ES418_msft_13766,no,Jakob,2025-05-06T12:30:50.159
,PL219_gov_5420,PL219_osm_160982,yes,Jakob,2025-05-06T12:30:58.796
,ITI44_gov_21769,ITI44_osm_78045,yes,Jakob,2025-05-06T12:31:00.900
,CH055_gov_202147,CH055_osm_31115,yes,Jakob,2025-05-06T12:31:03.067
,FI1D1_gov_187695,FI1D1_msft_118363,yes,Jakob,2025-05-06T12:31:04.922
,NL133_gov_82808,NL133_osm_75181,yes,Jakob,2025-05-06T12:31:18.017
,DEG0M_gov_83998,DEG0M_msft_19199,yes,Jakob,2025-05-06T12:31:21.436
,DK041_gov_412349,DK041_msft_266334,yes,Jakob,2025-05-06T12:31:25.738
,DE94D_gov_30316,DE94D_msft_40013,yes,Jakob,2025-05-06T12:31:27.192
,UKD45_osm_46277,UKD45_msft_85078,yes,Jakob,2025-05-06T12:31:28.857
,CH054_gov_8049,CH054_msft_8213,yes,Jakob,2025-05-06T12:31:31.264
,DEG07_gov_40461,DEG07_msft_34263,yes,Jakob,2025-05-06T12:31:33.311
,DE218_osm_5430,DE218_msft_30372,yes,Jakob,2025-05-06T12:31:36.060
,DE80M_gov_16959,DE80M_osm_44096,yes,Jakob,2025-05-06T12:31:38.357
,ITC4C_gov_280411,ITC4C_msft_217933,yes,Jakob,2025-05-06T12:31:41.887
,SI034_osm_35508,SI034_msft_60724,yes,Jakob,2025-05-06T12:31:45.710
,ITC43_osm_18070,ITC43_msft_22631,yes,Jakob,2025-05-06T12:31:47.300
,PL824_gov_63087,PL824_msft_88708,no,Jakob,2025-05-06T12:32:00.817
,FRF23_gov_135786,FRF23_msft_26278,yes,Jakob,2025-05-06T12:32:02.735
,DEF0F_osm_29397,DEF0F_msft_2194,yes,Jakob,2025-05-06T12:32:05.033
,DE212_osm_66819,DE212_msft_60603,yes,Jakob,2025-05-06T12:32:07.317
,ITG27_gov_42108,ITG27_msft_166652,unsure,Jakob,2025-05-06T12:32:21.214
,DE94D_gov_132876,DE94D_msft_71608,yes,Jakob,2025-05-06T12:32:25.346
,PL219_gov_107813,PL219_osm_95813,yes,Jakob,2025-05-06T12:32:26.812
,DED51_gov_25974,DED51_msft_6596,yes,Jakob,2025-05-06T12:32:34.610
,CZ051_gov_106093,CZ051_osm_155925,yes,Jakob,2025-05-06T12:32:36.567
,DK032_osm_469888,DK032_msft_451960,yes,Jakob,2025-05-06T12:32:38.225
,FRM02_gov_123698,FRM02_msft_21408,yes,Jakob,2025-05-06T12:32:41.045
,SI034_osm_75919,SI034_msft_2078,yes,Jakob,2025-05-06T12:32:48.265
,DEE07_gov_63474,DEE07_msft_46053,yes,Jakob,2025-05-06T12:32:53.453
,NL341_gov_85977,NL341_osm_71928,yes,Jakob,2025-05-06T12:32:58.652
,PL418_gov_19301,PL418_osm_287283,no,Jakob,2025-05-06T12:33:08.995
,ITI16_gov_53392,ITI16_osm_19957,unsure,Jakob,2025-05-06T12:33:13.284
,DE93B_gov_42581,DE93B_msft_64820,yes,Jakob,2025-05-06T12:33:16.775
,DE804_gov_16821,DE804_msft_7526,yes,Jakob,2025-05-06T12:33:20.134
,CH055_gov_45895,CH055_osm_107147,yes,Jakob,2025-05-06T12:33:21.782
,FRL06_gov_226595,FRL06_osm_50693,yes,Jakob,2025-05-06T12:33:24.534
,PT185_osm_43950,PT185_msft_132235,yes,Jakob,2025-05-06T12:33:27.277
,PL722_gov_32321,PL722_msft_39883,yes,Jakob,2025-05-06T12:33:29.489
,DE80M_gov_67624,DE80M_osm_1405,yes,Jakob,2025-05-06T12:33:31.282
,PL636_osm_40087,PL636_msft_95188,yes,Jakob,2025-05-06T12:33:32.852
,DEA33_gov_30499,DEA33_msft_46362,yes,Jakob,2025-05-06T12:33:34.491
,CH070_gov_5061,CH070_msft_80511,yes,Jakob,2025-05-06T12:33:36.010
,PL516_gov_36280,PL516_osm_52592,yes,Jakob,2025-05-06T12:33:39.007
,DEA33_gov_124602,DEA33_msft_2057,yes,Jakob,2025-05-06T12:33:41.051
,FRI13_gov_256877,FRI13_msft_293890,yes,Jakob,2025-05-06T12:33:42.923
,SI034_osm_41990,SI034_msft_84404,unsure,Jakob,2025-05-06T12:33:53.005
,FRJ13_gov_702999,FRJ13_osm_282300,yes,Jakob,2025-05-06T12:33:54.824
,FRL03_gov_458531,FRL03_osm_448184,yes,Jakob,2025-05-06T12:33:56.398
,ITI42_gov_47133,ITI42_msft_22315,yes,Jakob,2025-05-06T12:33:58.013
,PL637_gov_68003,PL637_osm_86130,yes,Jakob,2025-05-06T12:34:00.630
,PL418_gov_101268,PL418_osm_118640,yes,Jakob,2025-05-06T12:34:05.341
,CH054_gov_8049,CH054_msft_8213,yes,flo,2025-05-06T12:42:55.771
,CH055_gov_202147,CH055_osm_31115,yes,flo,2025-05-06T12:45:51.621
,CH055_gov_45895,CH055_osm_107147,yes,flo,2025-05-06T12:45:52.984
,CH070_gov_5061,CH070_msft_80511,yes,flo,2025-05-06T12:45:54.469
,CZ051_gov_106093,CZ051_osm_155925,yes,flo,2025-05-06T12:45:55.646
,DE212_osm_66819,DE212_msft_60603,yes,flo,2025-05-06T12:45:58.419
,DE212_osm_81001,DE212_msft_20641,yes,flo,2025-05-06T12:45:59.892
,DE218_osm_5430,DE218_msft_30372,yes,flo,2025-05-06T12:46:01.998
,DE712_osm_103467,DE712_msft_59101,yes,flo,2025-05-06T12:46:03.657
,DE804_gov_16821,DE804_msft_7526,yes,flo,2025-05-06T12:46:06.197
,DE80M_gov_16959,DE80M_osm_44096,unsure,flo,2025-05-06T12:46:12.369
,DE80M_gov_67624,DE80M_osm_1405,yes,flo,2025-05-06T12:46:15.776
,DE93B_gov_42581,DE93B_msft_64820,yes,flo,2025-05-06T12:46:17.222
,DE94D_gov_132876,DE94D_msft_71608,yes,flo,2025-05-06T12:46:18.546
